group,value,time
White,100.0,Pct. Jobs Feb.
Latino,100.0,Pct. Jobs Feb.
Black,100.0,Pct. Jobs Feb.
AIAN,100.0,Pct. Jobs Feb.
Asian,100.0,Pct. Jobs Feb.
Other,100.0,Pct. Jobs Feb.
White,89.4,Pct. of Feb. Jobs in May
Latino,82.1,Pct. of Feb. Jobs in May
Black,84.7,Pct. of Feb. Jobs in May
AIAN,89.2,Pct. of Feb. Jobs in May
Asian,82.5,Pct. of Feb. Jobs in May
Other,83.7,Pct. of Feb. Jobs in May
White,92.3,Pct. of Feb. Jobs in June
Latino,87.7,Pct. of Feb. Jobs in June
Black,88.5,Pct. of Feb. Jobs in June
AIAN,92.9,Pct. of Feb. Jobs in June
Asian,85.5,Pct. of Feb. Jobs in June
Other,88.3,Pct. of Feb. Jobs in June
