"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2020-02-01,"AIAE.Not Latino","16 to 24",0,0.150368691992679,69
2020-03-01,"AIAE.Not Latino","16 to 24",0.0139212269746392,0.0708711558887745,53
2020-04-01,"AIAE.Not Latino","16 to 24",0.0378406120864869,0.642758449251271,35
2020-05-01,"AIAE.Not Latino","16 to 24",0.0375912354653936,0.365254924808901,42
2020-06-01,"AIAE.Not Latino","16 to 24",0.0237633629319383,0.226999960356337,37
2020-07-01,"AIAE.Not Latino","16 to 24",0.0945498471575573,0.095860081406162,53
2020-08-01,"AIAE.Not Latino","16 to 24",0.0249653141507651,0.230458905382045,60
2020-09-01,"AIAE.Not Latino","16 to 24",0.0116493526955225,0.0786064329094072,66
2020-10-01,"AIAE.Not Latino","16 to 24",0.0159274566717567,0.248856930693293,67
2020-02-01,"AIAE.Not Latino","25 to 34",0.020121034253817,0.152150912986084,108
2020-03-01,"AIAE.Not Latino","25 to 34",0.0587753288241424,0.13627437931209,90
2020-04-01,"AIAE.Not Latino","25 to 34",0.0739966392275979,0.179577679909682,93
2020-05-01,"AIAE.Not Latino","25 to 34",0.0197687645126272,0.150424209177706,85
2020-06-01,"AIAE.Not Latino","25 to 34",0.0424963548138612,0.138349811001659,82
2020-07-01,"AIAE.Not Latino","25 to 34",0,0.170741201251826,75
2020-08-01,"AIAE.Not Latino","25 to 34",0.0229823266935192,0.0927714865079139,89
2020-09-01,"AIAE.Not Latino","25 to 34",0.00899864731158426,0.0670048446993016,115
2020-10-01,"AIAE.Not Latino","25 to 34",0.0575550099654336,0.112972315995455,121
2020-02-01,"AIAE.Not Latino","35 to 44",0.0318832269496482,0.0767175395038309,117
2020-03-01,"AIAE.Not Latino","35 to 44",0.0398111643007573,0.113494183570418,104
2020-04-01,"AIAE.Not Latino","35 to 44",0.0596524330190628,0.21146381135162,90
2020-05-01,"AIAE.Not Latino","35 to 44",0.0405782958948527,0.2071255529881,80
2020-06-01,"AIAE.Not Latino","35 to 44",0.0622060894313232,0.121656901644423,81
2020-07-01,"AIAE.Not Latino","35 to 44",0.00217638199827038,0.121741019098578,84
2020-08-01,"AIAE.Not Latino","35 to 44",0.0430459160614845,0.0899028570475536,91
2020-09-01,"AIAE.Not Latino","35 to 44",0.0850585443143653,0.0983883337114866,108
2020-10-01,"AIAE.Not Latino","35 to 44",0.0864852024233214,0.104912255148788,108
2020-02-01,"AIAE.Not Latino","45 to 54",0.0407411252620275,0.0432002505348426,109
2020-03-01,"AIAE.Not Latino","45 to 54",0.045222783624537,0.00865891671791641,83
2020-04-01,"AIAE.Not Latino","45 to 54",0.0265344079472131,0.192302499090703,88
2020-05-01,"AIAE.Not Latino","45 to 54",0.0568365171245175,0.109534580624156,87
2020-06-01,"AIAE.Not Latino","45 to 54",0.0694478685138144,0.0416229691235694,76
2020-07-01,"AIAE.Not Latino","45 to 54",0.0581390821306126,0.119662361771556,63
