"month","race_eth2","educ","sex","unemprate","emprate"
2020-02-01,"AIAE.Not Latino","< High School","Female",0,0.327845204535828
2020-03-01,"AIAE.Not Latino","< High School","Female",0,0.276982707888042
2020-04-01,"AIAE.Not Latino","< High School","Female",0,0.607124971084159
2020-05-01,"AIAE.Not Latino","< High School","Female",0.175863088313857,0.444774786100496
2020-06-01,"AIAE.Not Latino","< High School","Female",0,0.347055566375709
2020-02-01,"AIAE.Not Latino","Bachelors +","Female",0.0155839181359458,0.0128773599938087
2020-03-01,"AIAE.Not Latino","Bachelors +","Female",0.0235873229828329,0
2020-04-01,"AIAE.Not Latino","Bachelors +","Female",0.0410017783874538,0.0635969984443189
2020-05-01,"AIAE.Not Latino","Bachelors +","Female",0.0378356370636943,0.0586201517687135
2020-06-01,"AIAE.Not Latino","Bachelors +","Female",0.0265141004043125,0.0101185507936797
2020-02-01,"AIAE.Not Latino","High School","Female",0.0109344671318625,0.0731266738462092
2020-03-01,"AIAE.Not Latino","High School","Female",0.0295355932693538,0.0719607447739119
2020-04-01,"AIAE.Not Latino","High School","Female",0.059613258992506,0.292991194800215
2020-05-01,"AIAE.Not Latino","High School","Female",0.0677846271164595,0.235889858323154
2020-06-01,"AIAE.Not Latino","High School","Female",0.0683190956216494,0.129598634686476
2020-02-01,"AIAE.Not Latino","Some college","Female",0.0412007858967699,0.0475445422979409
2020-03-01,"AIAE.Not Latino","Some college","Female",0.0189610672843674,0.0947295010040441
2020-04-01,"AIAE.Not Latino","Some college","Female",0.0869250999580575,0.189613012050522
2020-05-01,"AIAE.Not Latino","Some college","Female",0.0238800687788398,0.136321883673038
2020-06-01,"AIAE.Not Latino","Some college","Female",0.0694511130899805,0.0524727642608568
2020-02-01,"AIAE.Not Latino","< High School","Male",0,0.353163576745637
2020-03-01,"AIAE.Not Latino","< High School","Male",0.0309432118909376,0.274270915228702
2020-04-01,"AIAE.Not Latino","< High School","Male",0.0985410183677231,0.140440133039051
2020-05-01,"AIAE.Not Latino","< High School","Male",0,0.364441458470216
2020-06-01,"AIAE.Not Latino","< High School","Male",0.0290672681476441,0.0969842075744798
2020-02-01,"AIAE.Not Latino","Bachelors +","Male",0,0.030566033706633
2020-03-01,"AIAE.Not Latino","Bachelors +","Male",0,0.00597718983865902
2020-04-01,"AIAE.Not Latino","Bachelors +","Male",0,0.0247435873868646
2020-05-01,"AIAE.Not Latino","Bachelors +","Male",0.0472643407093188,0.0107373734300513
2020-06-01,"AIAE.Not Latino","Bachelors +","Male",0.0618778816272255,0.00562199469372104
2020-02-01,"AIAE.Not Latino","High School","Male",0.0330973699673415,0.165480403425202
2020-03-01,"AIAE.Not Latino","High School","Male",0.0464543949787239,0.114001577468961
2020-04-01,"AIAE.Not Latino","High School","Male",0.144526047612417,0.265486257824145
2020-05-01,"AIAE.Not Latino","High School","Male",0.0327214956294817,0.18087958563159
2020-06-01,"AIAE.Not Latino","High School","Male",0.0516806024815058,0.162374530459563
2020-02-01,"AIAE.Not Latino","Some college","Male",0.0298769363086435,0.0530624951107168
2020-03-01,"AIAE.Not Latino","Some college","Male",0.140987292447022,0.0756874839149024
2020-04-01,"AIAE.Not Latino","Some college","Male",0,0.338285730897138
2020-05-01,"AIAE.Not Latino","Some college","Male",0.0333972057668919,0.260230417339044
2020-06-01,"AIAE.Not Latino","Some college","Male",0.0621447113700891,0.241443696423068
2020-02-01,"Asian.Not Latino","< High School","Female",0.0268344474787399,0
2020-03-01,"Asian.Not Latino","< High School","Female",0.0202918022694243,0.0429888090315848
2020-04-01,"Asian.Not Latino","< High School","Female",0.167419419352181,0.374450104238038
2020-05-01,"Asian.Not Latino","< High School","Female",0.268318938640638,0.254581832521002
2020-06-01,"Asian.Not Latino","< High School","Female",0.0824759850236446,0.337676008159582
2020-02-01,"Asian.Not Latino","Bachelors +","Female",0.039428722645122,0.0325487810448841
2020-03-01,"Asian.Not Latino","Bachelors +","Female",0.0520652001671003,0.0381233292144539
2020-04-01,"Asian.Not Latino","Bachelors +","Female",0.0552112812403489,0.0908484132658803
2020-05-01,"Asian.Not Latino","Bachelors +","Female",0.0601731769277501,0.0963652542743676
2020-06-01,"Asian.Not Latino","Bachelors +","Female",0.0358704635699398,0.0933806347562467
2020-02-01,"Asian.Not Latino","High School","Female",0.0331157746638582,0.0162999946429755
2020-03-01,"Asian.Not Latino","High School","Female",0.0654285814041358,0.0713842755282609
2020-04-01,"Asian.Not Latino","High School","Female",0.212097333186394,0.291520195905174
2020-05-01,"Asian.Not Latino","High School","Female",0.142975663037762,0.279530532792329
2020-06-01,"Asian.Not Latino","High School","Female",0.0473808789712728,0.287701458076488
2020-02-01,"Asian.Not Latino","Some college","Female",0.0508874272680019,0.0264108859168674
2020-03-01,"Asian.Not Latino","Some college","Female",0.0688922826147187,0.0571693289571656
2020-04-01,"Asian.Not Latino","Some college","Female",0.141397031200613,0.262652879188382
2020-05-01,"Asian.Not Latino","Some college","Female",0.113365325676425,0.326298640978294
2020-06-01,"Asian.Not Latino","Some college","Female",0.0874257462332665,0.208712702985888
2020-02-01,"Asian.Not Latino",NA,"Female",0.0694191320942888,0
2020-03-01,"Asian.Not Latino",NA,"Female",0.0287978833482569,0
2020-04-01,"Asian.Not Latino",NA,"Female",0.305869052467506,0.22800862739593
2020-05-01,"Asian.Not Latino",NA,"Female",0.134422525729598,0.154249927101111
2020-06-01,"Asian.Not Latino",NA,"Female",0.0664991922370972,0.397016359426173
2020-02-01,"Asian.Not Latino","< High School","Male",0.0303760691774048,0.016170707300935
2020-03-01,"Asian.Not Latino","< High School","Male",0.0235335536491944,0.0471022672166461
2020-04-01,"Asian.Not Latino","< High School","Male",0.16953323028106,0.275334880384739
2020-05-01,"Asian.Not Latino","< High School","Male",0.149538593113634,0.363724110603292
2020-06-01,"Asian.Not Latino","< High School","Male",0.0177190637018987,0.377507907715017
2020-02-01,"Asian.Not Latino","Bachelors +","Male",0.0380621484658905,0.0198063123646099
2020-03-01,"Asian.Not Latino","Bachelors +","Male",0.0244520067506185,0.0269579426411364
2020-04-01,"Asian.Not Latino","Bachelors +","Male",0.0665611007021702,0.0720028730375556
2020-05-01,"Asian.Not Latino","Bachelors +","Male",0.047974140622152,0.0592608131381406
2020-06-01,"Asian.Not Latino","Bachelors +","Male",0.0250223101127591,0.0771361073250152
2020-02-01,"Asian.Not Latino","High School","Male",0.012878917160028,0.0239128598596874
2020-03-01,"Asian.Not Latino","High School","Male",0.0308202274766328,0.0538804046359516
2020-04-01,"Asian.Not Latino","High School","Male",0.186377145309323,0.232017720108151
2020-05-01,"Asian.Not Latino","High School","Male",0.122136214172996,0.292534243415852
2020-06-01,"Asian.Not Latino","High School","Male",0.0942257228523807,0.279717211202174
