"month","race_eth2","fb","emprate"
2020-02-01,"AIAE.Not Latino","Foreign Born",0
2020-03-01,"AIAE.Not Latino","Foreign Born",0
2020-04-01,"AIAE.Not Latino","Foreign Born",0.371365866911487
2020-05-01,"AIAE.Not Latino","Foreign Born",0.0607271036182228
2020-06-01,"AIAE.Not Latino","Foreign Born",0.237207823609546
2020-02-01,"AIAE.Not Latino","Native Born",0.0970446971360935
2020-03-01,"AIAE.Not Latino","Native Born",0.0898676808962954
2020-04-01,"AIAE.Not Latino","Native Born",0.210908711975447
2020-05-01,"AIAE.Not Latino","Native Born",0.180667805522942
2020-06-01,"AIAE.Not Latino","Native Born",0.112784776268277
2020-02-01,"Asian.Not Latino","Foreign Born",0.0251326691814227
2020-03-01,"Asian.Not Latino","Foreign Born",0.037995295817683
2020-04-01,"Asian.Not Latino","Foreign Born",0.134483290010817
2020-05-01,"Asian.Not Latino","Foreign Born",0.147974505113162
2020-06-01,"Asian.Not Latino","Foreign Born",0.144131070007167
2020-02-01,"Asian.Not Latino","Native Born",0.0256923321185085
2020-03-01,"Asian.Not Latino","Native Born",0.0506121888355643
2020-04-01,"Asian.Not Latino","Native Born",0.153259584450163
2020-05-01,"Asian.Not Latino","Native Born",0.143750058026582
2020-06-01,"Asian.Not Latino","Native Born",0.124613106753229
2020-02-01,"Black.Not Latino","Foreign Born",0.0409630749725622
2020-03-01,"Black.Not Latino","Foreign Born",0.0400034334650857
2020-04-01,"Black.Not Latino","Foreign Born",0.137782190058585
2020-05-01,"Black.Not Latino","Foreign Born",0.171217900788536
2020-06-01,"Black.Not Latino","Foreign Born",0.171921814259552
2020-02-01,"Black.Not Latino","Native Born",0.0663223202165822
2020-03-01,"Black.Not Latino","Native Born",0.0760383459648666
2020-04-01,"Black.Not Latino","Native Born",0.168471789373646
2020-05-01,"Black.Not Latino","Native Born",0.165312326014888
2020-06-01,"Black.Not Latino","Native Born",0.142661720627353
2020-02-01,"Latino","Foreign Born",0.0425130943048052
2020-03-01,"Latino","Foreign Born",0.0588044911864016
2020-04-01,"Latino","Foreign Born",0.185813464195458
2020-05-01,"Latino","Foreign Born",0.164928811213675
2020-06-01,"Latino","Foreign Born",0.132161635391201
2020-02-01,"Latino","Native Born",0.0527248640356722
2020-03-01,"Latino","Native Born",0.0648930566938705
2020-04-01,"Latino","Native Born",0.184080700326149
2020-05-01,"Latino","Native Born",0.180558016275716
2020-06-01,"Latino","Native Born",0.154621503529641
2020-02-01,"multiple.Not Latino","Foreign Born",0
2020-03-01,"multiple.Not Latino","Foreign Born",0
2020-04-01,"multiple.Not Latino","Foreign Born",0.215057720982426
2020-05-01,"multiple.Not Latino","Foreign Born",0.0331020401002432
2020-06-01,"multiple.Not Latino","Foreign Born",0.0225773658858095
2020-02-01,"multiple.Not Latino","Native Born",0.0711208597441981
2020-03-01,"multiple.Not Latino","Native Born",0.0757264554964023
2020-04-01,"multiple.Not Latino","Native Born",0.161515279772775
2020-05-01,"multiple.Not Latino","Native Born",0.168249729758805
2020-06-01,"multiple.Not Latino","Native Born",0.11498582549134
2020-02-01,"NHPI.Not Latino","Foreign Born",0.0358220806320088
2020-03-01,"NHPI.Not Latino","Foreign Born",0.0424621408847567
2020-04-01,"NHPI.Not Latino","Foreign Born",0.0743626496728987
2020-05-01,"NHPI.Not Latino","Foreign Born",0.0290484353442024
2020-06-01,"NHPI.Not Latino","Foreign Born",0.0758150590430355
2020-02-01,"NHPI.Not Latino","Native Born",0.0283304384603938
2020-03-01,"NHPI.Not Latino","Native Born",0.0245488307979879
2020-04-01,"NHPI.Not Latino","Native Born",0.095887151947329
2020-05-01,"NHPI.Not Latino","Native Born",0.160625891247581
2020-06-01,"NHPI.Not Latino","Native Born",0.134994404805695
2020-02-01,"White.Not Latino","Foreign Born",0.025113564583497
2020-03-01,"White.Not Latino","Foreign Born",0.0393974253869384
2020-04-01,"White.Not Latino","Foreign Born",0.148620763406028
2020-05-01,"White.Not Latino","Foreign Born",0.135749797645158
2020-06-01,"White.Not Latino","Foreign Born",0.106305413135995
2020-02-01,"White.Not Latino","Native Born",0.03065934071148
2020-03-01,"White.Not Latino","Native Born",0.0348565895485951
2020-04-01,"White.Not Latino","Native Born",0.126567383277705
2020-05-01,"White.Not Latino","Native Born",0.104014047414093
2020-06-01,"White.Not Latino","Native Born",0.0895141785757517
