"month","race_eth2","educ","sex","unemprate","emprate","nsamp"
2020-02-01,"AIAE.Not Latino","< High School","Female",0,0.327845204535828,10
2020-03-01,"AIAE.Not Latino","< High School","Female",0,0.276982707888042,8
2020-04-01,"AIAE.Not Latino","< High School","Female",0,0.607124971084159,10
2020-05-01,"AIAE.Not Latino","< High School","Female",0.175863088313857,0.444774786100496,10
2020-06-01,"AIAE.Not Latino","< High School","Female",0,0.347055566375709,8
2020-07-01,"AIAE.Not Latino","< High School","Female",0.123188642530994,0.0490229229427666,11
2020-08-01,"AIAE.Not Latino","< High School","Female",0.122020308022459,0,10
2020-09-01,"AIAE.Not Latino","< High School","Female",0.0859729794086374,0.0600607812002859,18
2020-10-01,"AIAE.Not Latino","< High School","Female",0.0650366674200551,0.0895397167457811,22
2020-02-01,"AIAE.Not Latino","Bachelors +","Female",0.0155839181359458,0.0128773599938087,53
2020-03-01,"AIAE.Not Latino","Bachelors +","Female",0.0235873229828329,0,45
2020-04-01,"AIAE.Not Latino","Bachelors +","Female",0.0410017783874538,0.0635969984443189,50
2020-05-01,"AIAE.Not Latino","Bachelors +","Female",0.0378356370636943,0.0586201517687135,53
2020-06-01,"AIAE.Not Latino","Bachelors +","Female",0.0265141004043125,0.0101185507936797,38
2020-07-01,"AIAE.Not Latino","Bachelors +","Female",0.0573741342502297,0.0177934896412394,49
2020-08-01,"AIAE.Not Latino","Bachelors +","Female",0.037386629038269,0.0130889208568921,52
2020-09-01,"AIAE.Not Latino","Bachelors +","Female",0,0,60
2020-10-01,"AIAE.Not Latino","Bachelors +","Female",0.0772078839367358,0.107132586864253,59
2020-02-01,"AIAE.Not Latino","High School","Female",0.0109344671318625,0.0731266738462092,98
2020-03-01,"AIAE.Not Latino","High School","Female",0.0295355932693538,0.0719607447739119,82
2020-04-01,"AIAE.Not Latino","High School","Female",0.059613258992506,0.292991194800215,69
2020-05-01,"AIAE.Not Latino","High School","Female",0.0677846271164595,0.235889858323154,71
2020-06-01,"AIAE.Not Latino","High School","Female",0.0683190956216494,0.129598634686476,53
2020-07-01,"AIAE.Not Latino","High School","Female",0.229380100727109,0.13340348446836,47
2020-08-01,"AIAE.Not Latino","High School","Female",0.0470993083146202,0.183135839225444,67
2020-09-01,"AIAE.Not Latino","High School","Female",0.0265424165275158,0.0523780612101311,90
2020-10-01,"AIAE.Not Latino","High School","Female",0.0467561767623962,0.107395175165715,92
2020-02-01,"AIAE.Not Latino","Some college","Female",0.0412007858967699,0.0475445422979409,109
2020-03-01,"AIAE.Not Latino","Some college","Female",0.0189610672843674,0.0947295010040441,88
2020-04-01,"AIAE.Not Latino","Some college","Female",0.0869250999580575,0.189613012050522,85
2020-05-01,"AIAE.Not Latino","Some college","Female",0.0238800687788398,0.136321883673038,72
2020-06-01,"AIAE.Not Latino","Some college","Female",0.0694511130899805,0.0524727642608568,80
2020-07-01,"AIAE.Not Latino","Some college","Female",0.0208428269566716,0.110900030615637,71
2020-08-01,"AIAE.Not Latino","Some college","Female",0.0255901787024292,0.114579873160706,78
2020-09-01,"AIAE.Not Latino","Some college","Female",0.0180349297071578,0.0342895270144755,98
2020-10-01,"AIAE.Not Latino","Some college","Female",0.0192671484434371,0.15917936703877,96
2020-09-01,"AIAE.Not Latino",NA,"Female",0,0,1
2020-10-01,"AIAE.Not Latino",NA,"Female",0,0,2
2020-02-01,"AIAE.Not Latino","< High School","Male",0,0.353163576745637,24
2020-03-01,"AIAE.Not Latino","< High School","Male",0.0309432118909376,0.274270915228702,16
2020-04-01,"AIAE.Not Latino","< High School","Male",0.0985410183677231,0.140440133039051,14
2020-05-01,"AIAE.Not Latino","< High School","Male",0,0.364441458470216,8
2020-06-01,"AIAE.Not Latino","< High School","Male",0.0290672681476441,0.0969842075744798,9
2020-07-01,"AIAE.Not Latino","< High School","Male",0.0934160752553798,0,18
2020-08-01,"AIAE.Not Latino","< High School","Male",0.0507731313620155,0.211576662897313,21
2020-09-01,"AIAE.Not Latino","< High School","Male",0.0382344575066865,0.192026008401252,26
2020-10-01,"AIAE.Not Latino","< High School","Male",0.0565564658995996,0.0809763777442003,22
2020-02-01,"AIAE.Not Latino","Bachelors +","Male",0,0.030566033706633,50
2020-03-01,"AIAE.Not Latino","Bachelors +","Male",0,0.00597718983865902,38
2020-04-01,"AIAE.Not Latino","Bachelors +","Male",0,0.0247435873868646,38
2020-05-01,"AIAE.Not Latino","Bachelors +","Male",0.0472643407093188,0.0107373734300513,33
2020-06-01,"AIAE.Not Latino","Bachelors +","Male",0.0618778816272255,0.00562199469372104,32
2020-07-01,"AIAE.Not Latino","Bachelors +","Male",0.1140059855715,0,30
2020-08-01,"AIAE.Not Latino","Bachelors +","Male",0.0793433160865413,0.0170325598609327,38
2020-09-01,"AIAE.Not Latino","Bachelors +","Male",0.0477933365968493,0.0184298279735807,33
2020-10-01,"AIAE.Not Latino","Bachelors +","Male",0.0876710247307726,0.115262705539389,38
