"month","race_eth2","stname","emprate","nsamp"
2020-02-01,"AIAE.Not Latino","Alaska",0.0958011529012698,78
2020-03-01,"AIAE.Not Latino","Alaska",0.140529306058548,85
2020-04-01,"AIAE.Not Latino","Alaska",0.260380295672442,67
2020-05-01,"AIAE.Not Latino","Alaska",0.282099294031159,54
2020-06-01,"AIAE.Not Latino","Alaska",0.217402233128866,58
2020-02-01,"AIAE.Not Latino","New Mexico",0.109070735789953,80
2020-03-01,"AIAE.Not Latino","New Mexico",0.0633831852188659,56
2020-04-01,"AIAE.Not Latino","New Mexico",0.103312046819728,55
2020-05-01,"AIAE.Not Latino","New Mexico",0.0879382646404053,55
2020-06-01,"AIAE.Not Latino","New Mexico",0.0762035959985796,51
2020-02-01,"AIAE.Not Latino","Oklahoma",0.0144056397460903,59
2020-03-01,"AIAE.Not Latino","Oklahoma",0.0527375566342776,48
2020-04-01,"AIAE.Not Latino","Oklahoma",0.145013713264745,58
2020-05-01,"AIAE.Not Latino","Oklahoma",0.219914705193775,51
2020-06-01,"AIAE.Not Latino","Oklahoma",0.0980516684477334,47
2020-02-01,"AIAE.Not Latino","South Dakota",0.0902415279086951,34
2020-03-01,"AIAE.Not Latino","South Dakota",0,31
2020-05-01,"AIAE.Not Latino","South Dakota",0.38689209748587,31
2020-02-01,"Asian.Not Latino","Alaska",0,51
2020-03-01,"Asian.Not Latino","Alaska",0.0224885151931586,45
2020-04-01,"Asian.Not Latino","Alaska",0.043177902459219,51
2020-05-01,"Asian.Not Latino","Alaska",0.0391965182681744,41
2020-06-01,"Asian.Not Latino","Alaska",0.120110236976646,43
2020-02-01,"Asian.Not Latino","Arizona",0.0460659421264337,36
2020-03-01,"Asian.Not Latino","Arizona",0.0286851345945595,36
2020-04-01,"Asian.Not Latino","Arizona",0.121567031066584,40
2020-02-01,"Asian.Not Latino","California",0.0251139221062779,844
2020-03-01,"Asian.Not Latino","California",0.0442834205785783,677
2020-04-01,"Asian.Not Latino","California",0.139434738830443,643
2020-05-01,"Asian.Not Latino","California",0.134486974598555,627
2020-06-01,"Asian.Not Latino","California",0.17076712622272,627
2020-02-01,"Asian.Not Latino","Connecticut",0.0268430243357286,39
2020-03-01,"Asian.Not Latino","Connecticut",0,35
2020-04-01,"Asian.Not Latino","Connecticut",0.0657156220607769,31
2020-02-01,"Asian.Not Latino","District of Columbia",0,58
2020-03-01,"Asian.Not Latino","District of Columbia",0.0297328362318519,49
2020-04-01,"Asian.Not Latino","District of Columbia",0.0348251586353624,46
2020-05-01,"Asian.Not Latino","District of Columbia",0.0478568423319274,48
2020-06-01,"Asian.Not Latino","District of Columbia",0.0950361978720767,53
2020-02-01,"Asian.Not Latino","Florida",0,76
2020-03-01,"Asian.Not Latino","Florida",0,60
2020-04-01,"Asian.Not Latino","Florida",0.077362301049628,58
2020-05-01,"Asian.Not Latino","Florida",0.192491654643843,49
2020-06-01,"Asian.Not Latino","Florida",0.105602929199345,43
2020-02-01,"Asian.Not Latino","Georgia",0.0156956218720513,79
2020-03-01,"Asian.Not Latino","Georgia",0.0741899493853992,71
2020-04-01,"Asian.Not Latino","Georgia",0.156244560371907,57
2020-05-01,"Asian.Not Latino","Georgia",0.0920045813007788,49
2020-06-01,"Asian.Not Latino","Georgia",0.0535979218890165,43
2020-02-01,"Asian.Not Latino","Hawaii",0.0179496076121376,310
2020-03-01,"Asian.Not Latino","Hawaii",0.0156435674536972,288
2020-04-01,"Asian.Not Latino","Hawaii",0.239314329586453,308
2020-05-01,"Asian.Not Latino","Hawaii",0.204139635284189,309
2020-06-01,"Asian.Not Latino","Hawaii",0.151840661666993,293
2020-02-01,"Asian.Not Latino","Illinois",0.0110280161739633,110
2020-03-01,"Asian.Not Latino","Illinois",0.0490414314334953,80
2020-04-01,"Asian.Not Latino","Illinois",0.0273374059368729,69
2020-05-01,"Asian.Not Latino","Illinois",0.163128845301538,66
2020-06-01,"Asian.Not Latino","Illinois",0.093346571019538,75
2020-03-01,"Asian.Not Latino","Iowa",0.0279407211717065,31
2020-02-01,"Asian.Not Latino","Maryland",0.0125250426468589,70
2020-03-01,"Asian.Not Latino","Maryland",0.0322429806731367,83
2020-04-01,"Asian.Not Latino","Maryland",0.116481028351994,69
2020-05-01,"Asian.Not Latino","Maryland",0.121595410706696,57
2020-06-01,"Asian.Not Latino","Maryland",0.102324841962942,42
2020-02-01,"Asian.Not Latino","Massachusetts",0,93
2020-03-01,"Asian.Not Latino","Massachusetts",0.0449293606566999,109
2020-04-01,"Asian.Not Latino","Massachusetts",0.266119448850096,79
2020-05-01,"Asian.Not Latino","Massachusetts",0.183776809909916,93
2020-06-01,"Asian.Not Latino","Massachusetts",0.130303162531067,100
2020-02-01,"Asian.Not Latino","Michigan",0.0157292227254846,53
2020-03-01,"Asian.Not Latino","Michigan",0,52
2020-04-01,"Asian.Not Latino","Michigan",0.0733137537990199,48
2020-05-01,"Asian.Not Latino","Michigan",0.185036963661204,34
2020-06-01,"Asian.Not Latino","Michigan",0.108134572848891,35
2020-02-01,"Asian.Not Latino","Minnesota",0.0384797415435962,51
2020-03-01,"Asian.Not Latino","Minnesota",0.0157685906233488,45
2020-04-01,"Asian.Not Latino","Minnesota",0.119694358971866,43
2020-02-01,"Asian.Not Latino","Nevada",0,68
2020-03-01,"Asian.Not Latino","Nevada",0.0859646657670917,75
2020-04-01,"Asian.Not Latino","Nevada",0.347341815858199,64
2020-05-01,"Asian.Not Latino","Nevada",0.41985107071718,50
2020-06-01,"Asian.Not Latino","Nevada",0.217393331053732,40
2020-03-01,"Asian.Not Latino","New Hampshire",0.0271450717127012,35
2020-02-01,"Asian.Not Latino","New Jersey",0.0380505755549594,139
2020-03-01,"Asian.Not Latino","New Jersey",0.0424759397184669,134
2020-04-01,"Asian.Not Latino","New Jersey",0.117936357693233,120
2020-05-01,"Asian.Not Latino","New Jersey",0.149908743946943,116
2020-06-01,"Asian.Not Latino","New Jersey",0.188035527562488,120
2020-02-01,"Asian.Not Latino","New York",0.0365038044329719,242
2020-03-01,"Asian.Not Latino","New York",0.0244282712818245,203
2020-04-01,"Asian.Not Latino","New York",0.166138334736151,194
2020-05-01,"Asian.Not Latino","New York",0.205543933792311,164
2020-06-01,"Asian.Not Latino","New York",0.193174115979156,148
2020-02-01,"Asian.Not Latino","North Carolina",0,59
2020-03-01,"Asian.Not Latino","North Carolina",0,55
2020-04-01,"Asian.Not Latino","North Carolina",0.0386723475300679,46
2020-05-01,"Asian.Not Latino","North Carolina",0.0980342419679598,57
2020-06-01,"Asian.Not Latino","North Carolina",0.101578794900415,42
2020-02-01,"Asian.Not Latino","Ohio",0.0822724654173441,34
2020-03-01,"Asian.Not Latino","Ohio",0.134850443719599,38
2020-04-01,"Asian.Not Latino","Ohio",0.13637779514247,34
2020-02-01,"Asian.Not Latino","Oregon",0.019735215607724,48
2020-03-01,"Asian.Not Latino","Oregon",0.0634357954892644,49
2020-04-01,"Asian.Not Latino","Oregon",0.0380684347642122,43
2020-05-01,"Asian.Not Latino","Oregon",0.179002235682218,36
2020-06-01,"Asian.Not Latino","Oregon",0.075766228987195,47
2020-02-01,"Asian.Not Latino","Pennsylvania",0.0728865953503579,64
2020-03-01,"Asian.Not Latino","Pennsylvania",0.0839387286587289,61
2020-04-01,"Asian.Not Latino","Pennsylvania",0.193701466064547,45
2020-05-01,"Asian.Not Latino","Pennsylvania",0.0769808830968388,39
2020-06-01,"Asian.Not Latino","Pennsylvania",0.274855126027426,46
2020-02-01,"Asian.Not Latino","Texas",0.019036156550887,216
2020-03-01,"Asian.Not Latino","Texas",0.0315263285088633,179
2020-04-01,"Asian.Not Latino","Texas",0.162961173875861,167
2020-05-01,"Asian.Not Latino","Texas",0.159945882529819,171
2020-06-01,"Asian.Not Latino","Texas",0.0778053222939691,135
2020-02-01,"Asian.Not Latino","Virginia",0.0219498430793699,95
2020-03-01,"Asian.Not Latino","Virginia",0.0360424863183549,82
2020-04-01,"Asian.Not Latino","Virginia",0.111630589524677,66
2020-05-01,"Asian.Not Latino","Virginia",0.111264177376181,74
2020-06-01,"Asian.Not Latino","Virginia",0.144596830790995,58
2020-02-01,"Asian.Not Latino","Washington",0.020766180226933,92
2020-03-01,"Asian.Not Latino","Washington",0.106723048065149,79
2020-04-01,"Asian.Not Latino","Washington",0.102518271910326,87
2020-05-01,"Asian.Not Latino","Washington",0.0854210264934822,81
2020-06-01,"Asian.Not Latino","Washington",0.0940049983453635,90
2020-02-01,"Black.Not Latino","Alabama",0.0306677648523317,223
2020-03-01,"Black.Not Latino","Alabama",0.030546265030218,205
2020-04-01,"Black.Not Latino","Alabama",0.210647515914569,191
2020-05-01,"Black.Not Latino","Alabama",0.106892189614029,188
2020-06-01,"Black.Not Latino","Alabama",0.113987646330063,198
2020-02-01,"Black.Not Latino","Arizona",0.040820696426709,49
2020-03-01,"Black.Not Latino","Arizona",0.0317829608306647,34
2020-04-01,"Black.Not Latino","Arizona",0.215884689323196,32
2020-05-01,"Black.Not Latino","Arizona",0.143311210134362,42
2020-06-01,"Black.Not Latino","Arizona",0.106907499788262,33
2020-02-01,"Black.Not Latino","Arkansas",0.0438940902628876,112
2020-03-01,"Black.Not Latino","Arkansas",0.0731465624907719,102
2020-04-01,"Black.Not Latino","Arkansas",0.10694204003273,98
2020-05-01,"Black.Not Latino","Arkansas",0.114733282030515,100
2020-06-01,"Black.Not Latino","Arkansas",0.132144425332111,82
2020-02-01,"Black.Not Latino","California",0.0699519397618821,252
2020-03-01,"Black.Not Latino","California",0.0797691092185159,179
2020-04-01,"Black.Not Latino","California",0.152753119495272,174
2020-05-01,"Black.Not Latino","California",0.156635206448509,176
2020-06-01,"Black.Not Latino","California",0.198948031191804,175
2020-02-01,"Black.Not Latino","Connecticut",0.0218154432641156,34
2020-03-01,"Black.Not Latino","Connecticut",0.0472291046021842,41
2020-04-01,"Black.Not Latino","Connecticut",0.0608094534931248,36
2020-05-01,"Black.Not Latino","Connecticut",0.0555582801187001,36
2020-06-01,"Black.Not Latino","Connecticut",0.0318659904609894,41
2020-02-01,"Black.Not Latino","Delaware",0.0485071767548356,87
2020-03-01,"Black.Not Latino","Delaware",0.0624151726670662,75
2020-04-01,"Black.Not Latino","Delaware",0.142288237480251,69
2020-05-01,"Black.Not Latino","Delaware",0.129017667017862,67
2020-06-01,"Black.Not Latino","Delaware",0.211261716174793,65
2020-02-01,"Black.Not Latino","District of Columbia",0.102174224978829,292
2020-03-01,"Black.Not Latino","District of Columbia",0.117594094891228,258
2020-04-01,"Black.Not Latino","District of Columbia",0.202356878264187,266
2020-05-01,"Black.Not Latino","District of Columbia",0.157837625100256,250
2020-06-01,"Black.Not Latino","District of Columbia",0.158278752713904,210
